,price,bedrooms,sqft_living,grade
0,221900,3,1180,7
1,538000,3,2570,7
2,180000,2,770,6
3,604000,4,1960,7
4,510000,3,1680,8
5,1225000,4,5420,11
6,257500,3,1715,7
7,291850,3,1060,7
8,229500,3,1780,7
9,323000,3,1890,7
10,662500,3,3560,8
11,468000,2,1160,7
12,310000,3,1430,7
13,400000,3,1370,7
14,530000,5,1810,7
15,650000,4,2950,9
16,395000,3,1890,7
17,485000,4,1600,7
18,189000,2,1200,7
19,230000,3,1250,7
20,385000,4,1620,7
21,2000000,3,3050,9
22,285000,5,2270,8
23,252700,2,1070,7
24,329000,3,2450,8
25,233000,3,1710,6
26,937000,3,2450,8
27,667000,3,1400,8
28,438000,3,1520,7
29,719000,4,2570,8
30,580500,3,2320,8
31,280000,2,1190,7
32,687500,4,2330,7
33,535000,3,1090,8
34,322500,4,2060,7
35,696000,3,2300,8
36,550000,4,1660,5
37,640000,4,2360,8
38,240000,4,1220,7
39,605000,4,2620,8
40,625000,4,2570,9
41,775000,4,4220,8
42,861990,5,3595,9
43,685000,3,1570,7
44,309000,3,1280,6
45,488000,3,3160,8
46,210490,3,990,6
47,785000,4,2290,9
48,450000,3,1250,7
49,1350000,3,2753,9
50,228000,3,1190,7
51,345000,5,3150,8
52,600000,3,1410,7
53,585000,2,1980,7
54,920000,5,2730,8
55,885000,4,2830,9
56,292500,4,2250,7
57,301000,3,2420,8
58,951000,5,3250,8
59,430000,4,1850,8
60,650000,3,2150,8
61,289000,3,1260,7
62,505000,3,2519,8
63,549000,3,1540,8
64,425000,3,1660,7
65,317625,3,2770,7
66,975000,4,2720,10
67,287000,4,2240,7
68,204000,3,1000,7
69,1325000,5,3200,8
70,1040000,5,4770,11
71,325000,3,1260,7
72,571000,4,2750,7
73,360000,4,2380,8
74,349000,3,1790,7
75,832500,4,3430,10
76,380000,4,1760,7
77,480000,3,1040,7
78,410000,3,1410,7
79,720000,4,3450,10
80,390000,3,2350,8
81,360000,4,1900,7
82,355000,2,2020,7
83,356000,3,1680,8
84,315000,3,960,6
85,940000,3,2140,9
86,305000,5,2660,7
87,461000,3,2770,9
88,215000,2,1610,7
89,335000,2,1030,7
90,243500,4,1980,7
91,1099880,5,3520,10
92,153000,3,1200,7
93,430000,3,1580,8
94,700000,3,1580,8
95,905000,4,3300,7
96,247500,3,1960,7
97,199000,4,1160,7
98,314000,3,1810,7
99,437500,3,2320,9
100,850830,3,2070,9
101,555000,3,1980,7
102,699950,3,2190,8
103,1088000,3,2920,8
104,290000,3,1210,7
105,375000,3,2340,8
106,460000,3,1670,7
107,188500,2,1240,8
108,680000,4,3140,10
109,470000,5,2030,7
110,597750,4,2310,8
111,570000,3,1260,6
112,272500,3,1540,7
113,329950,3,2080,7
114,480000,4,3230,9
115,740500,3,4380,8
116,518500,3,1590,8
117,205425,2,880,6
118,171800,4,1570,6
119,535000,4,1610,7
120,660000,3,2400,8
121,391500,3,1450,7
122,395000,2,770,6
123,445000,4,2100,7
124,770000,3,2910,9
125,1450000,4,2750,8
126,445000,3,2100,8
127,260000,4,2160,8
128,822500,5,2320,7
129,430000,4,2070,7
130,212000,3,1060,7
131,660500,4,2010,8
132,784000,3,3950,9
133,453246,3,2010,8
134,675000,4,2140,9
135,199000,3,1320,7
136,220000,4,2020,7
137,452000,4,2590,8
138,382500,2,1190,6
139,519950,3,1170,8
140,665000,2,1110,7
141,527700,5,2820,8
142,205000,3,1610,7
143,420000,3,1060,7
144,500000,4,2030,8
145,921500,4,3670,9
146,890000,4,2550,8
147,430000,2,2420,7
148,258000,5,2260,8
149,511000,3,1430,7
150,532170,3,1360,8
151,560000,3,1110,7
152,282950,3,1250,7
153,2250000,4,5180,12
154,350000,1,700,7
155,215000,3,1180,7
156,650000,5,3960,9
157,320000,4,2640,8
158,247000,3,1270,7
159,320000,4,1760,8
160,255000,5,2060,7
161,438000,3,1780,7
162,900000,3,3400,10
163,441000,3,1910,7
164,420000,3,2020,7
165,370000,3,1580,7
166,269950,2,1340,5
167,807100,4,2680,9
168,653000,3,2680,8
169,371500,3,1370,7
170,284000,3,1560,7
171,272000,3,2160,7
172,313000,3,1340,7
173,917500,4,3880,10
174,673000,4,2590,8
175,425000,3,1120,8
176,399950,5,1970,7
177,385000,3,1220,6
178,269950,3,1950,7
179,330000,2,1350,7
180,260000,3,1670,7
181,470000,4,2380,7
182,589000,4,2440,7
183,163500,2,1050,7
184,835000,4,3130,9
185,1095000,5,4090,10
186,269000,4,1490,8
187,560000,3,1900,8
188,615000,4,1330,6
189,585188,3,2230,8
190,305000,3,1650,7
191,166950,3,1190,6
192,799000,3,2140,8
193,400000,3,2180,7
194,230000,3,1060,7
195,256883,3,1690,8
196,423000,4,1970,7
197,465000,3,2150,8
198,440000,3,1910,7
199,385000,3,1350,7
200,210000,3,860,6
201,297000,3,1940,8
202,470000,3,1010,7
203,226500,3,1300,7
204,274250,3,910,6
205,840000,4,2480,9
206,677900,3,2440,8
207,425000,3,1010,7
208,180250,2,900,6
209,464000,6,2300,7
210,320000,4,1550,8
211,625504,3,1270,8
212,592500,4,2240,9
213,465000,3,2714,9
214,477000,4,1720,8
215,280000,2,850,6
216,1505000,5,3300,9
217,445838,3,2250,8
218,1072000,2,3900,8
219,467000,2,1320,8
220,686000,4,2760,10
221,279950,3,1750,7
222,527000,4,2330,8
223,325000,3,2220,8
224,328000,3,2020,7
225,390000,3,1250,7
226,479950,2,1510,8
227,264950,4,1720,7
228,235000,3,1430,7
229,516500,3,1480,7
230,655000,2,1450,7
231,500000,4,2280,7
232,315000,6,2940,8
233,213000,2,1000,6
234,475000,3,2480,7
235,1025000,5,3760,10
236,416000,3,2220,7
237,410000,4,1970,7
238,800000,3,3830,10
239,472000,6,4410,9
240,225000,3,1430,7
241,210000,2,830,6
242,455000,2,1430,7
243,225000,3,1300,6
244,480000,2,1030,7
245,363000,3,2740,9
246,2400000,4,3650,9
247,181000,2,720,6
248,250000,4,2010,7
249,481000,3,1560,6
250,260000,3,1810,7
251,455000,4,3360,9
252,415000,3,1510,8
253,349500,3,1400,7
254,245000,3,1730,7
255,592500,2,1420,7
256,385000,4,2360,7
257,315000,3,1580,7
258,255000,3,1230,7
259,693000,4,2460,8
260,780000,3,1660,8
261,237000,3,1270,7
262,525000,3,2100,10
263,425000,2,770,5
264,369900,1,760,5
265,290000,4,1700,7
266,285000,3,1120,7
267,415000,2,1070,7
268,272500,3,2070,8
269,2900000,4,5050,11
270,1365000,4,5310,11
271,436000,2,1040,7
272,210000,3,1700,7
273,236000,3,1300,7
274,331000,3,1080,7
275,365000,3,2653,8
276,450000,3,2290,8
277,770000,4,3820,9
278,455000,4,2210,8
279,405000,3,2390,6
280,304900,4,2600,7
281,170000,2,860,6
282,2050000,5,3830,9
283,780000,4,3500,9
284,330000,3,2420,8
285,370000,4,2720,9
286,467000,5,2500,7
287,405000,3,1670,7
288,675000,5,2900,8
289,500000,2,1640,7
290,389999,4,1890,7
291,630000,4,2950,8
292,360000,4,2160,9
293,580000,4,3280,8
294,550000,3,1970,8
295,879000,4,3360,10
296,265000,3,1320,7
297,446500,3,2650,8
298,404000,3,2030,7
299,267500,3,1590,7
300,3075000,4,4550,10
301,335000,3,2440,8
302,576000,3,1940,7
303,208633,3,2040,8
304,315000,3,2200,7
305,725000,3,1920,8
306,550000,4,1800,8
307,610750,4,2180,8
308,550700,2,1010,6
309,665000,4,3320,8
310,834000,4,2370,8
311,201000,5,1660,6
312,2384000,5,3650,10
313,1384000,4,4290,11
314,1400000,4,4290,11
315,305000,4,1950,8
316,487000,3,2590,8
317,390000,3,1930,8
318,548000,2,1470,7
319,268750,4,800,6
320,819900,5,3150,9
321,520000,3,2030,8
322,230000,3,1450,7
323,240000,3,1510,7
324,232000,2,1240,6
325,240500,2,1240,6
326,274975,3,3030,9
327,740000,4,2050,9
328,186375,3,1000,7
329,790000,3,2370,9
330,880000,4,2800,9
331,279000,6,2240,7
332,295000,3,1810,8
333,640000,2,1070,7
334,940000,4,2490,9
335,260000,4,1960,7
336,559900,3,2930,9
337,791500,4,1510,7
338,265000,3,1420,7
339,245000,3,1740,7
340,485000,4,2560,7
341,684000,4,3040,9
342,425000,3,2500,8
343,309600,4,1275,6
344,552250,4,2580,8
345,165000,4,1000,6
346,239900,4,1000,6
347,320000,2,1070,6
348,206600,3,1390,7
349,387000,4,2500,7
350,299000,1,560,4
351,855000,4,2270,9
352,315000,3,1900,7
353,437500,2,990,7
354,252000,4,1550,7
355,375000,4,2200,7
356,300000,4,1910,7
357,420000,4,1750,7
358,900000,3,1330,7
359,679900,3,2440,9
360,463000,3,1640,7
361,380000,5,2760,9
362,329500,4,1820,7
363,604950,3,2110,8
364,795000,5,3040,8
365,465000,3,1840,7
366,673000,4,2990,9
367,810000,4,3520,10
368,785000,4,2440,8
369,338000,4,2090,7
370,280000,3,1430,7
371,315000,4,2180,7
372,530000,4,2180,7
373,380000,5,3450,9
374,297000,3,1450,7
375,730000,4,3230,10
376,450000,3,1640,7
377,275000,3,1590,7
378,595000,4,2020,7
379,435000,3,1300,7
380,270000,2,1380,6
381,950000,3,4040,10
382,389000,4,2130,7
383,560000,4,2550,8
